更新时间,#genre#
CCTV-17,http://111.31.22.5/cache.ott.fifalive.itv.cmvideo.cn/000000001000/1000000005000265015/1.m3u8?channel-id=ystenlive&Contentid=1000000005000265015&livemode=1&stbId=3$订阅源
CETV1,http://123.56.129.203:4078/rtp/225.1.8.169:4120$北京电信组播源
CETV1,http://122.9.151.210:6038/rtp/238.255.2.105:5999$贵州电信组播源
CETV1,http://123.56.129.203:3343/rtp/225.1.8.169:4120$北京电信组播源
CETV2,http://123.56.129.203:4078/rtp/225.1.8.193:4120$北京电信组播源
CETV2,http://122.9.151.210:6038/rtp/238.255.2.221:5999$贵州电信组播源
CETV2,http://123.56.129.203:3343/rtp/225.1.8.193:4120$北京电信组播源
CETV4,http://123.56.129.203:4078/rtp/225.1.8.195:4120$北京电信组播源
CETV4,http://122.9.151.210:6038/rtp/238.255.2.222:5999$贵州电信组播源
CETV4,http://123.56.129.203:3343/rtp/225.1.8.195:4120$北京电信组播源
